SALLVL,SALLVLT
A,"Less than $20,000"
B,"$20,000 - $29,999"
C,"$30,000 - $39,999"
D,"$40,000 - $49,999"
E,"$50,000 - $59,999"
F,"$60,000 - $69,999"
G,"$70,000 - $79,999"
H,"$80,000 - $89,999"
I,"$90,000 - $99,999"
J,"$100,000 - $109,999"
K,"$110,000 - $119,999"
L,"$120,000 - $129,999"
M,"$130,000 - $139,999"
N,"$140,000 - $149,999"
O,"$150,000 - $159,999"
P,"$160,000 - $169,999"
Q,"$170,000 - $179,999"
R,"$180,000 - $189,999"
S,"$190,000 - $199,999"
T,"$200,000 - $219,999"
U,"$220,000 - $239,999"
V,"$240,000 - $259,999"
W,"$260,000 - $279,999"
X,"$280,000 - $299,999"
Y,"$300,000 or more"
Z,Unspecified or Zero
